,instance,grpsize1,grpsize2,constraints,variables,equivalent vars,#oribits(%),CPU time(s),status,objectve,tags,submitter,group
24,neos-3627168-kasai,81,60,2120,1462,1445,98.83720930232558,0,easy,988585.6199999998,benchmark decomposition benchmark_suitable variable_bound invariant_knapsack mixed_binary general_linear,Jeff Linderoth,neos-pseudoapplication-25
25,binkar10_1,0,1,2042,2298,0,0.0,0,easy,6742.1998835,benchmark benchmark_suitable aggregations mixed_binary,H. Mittelmann,--
26,exp-1-500-5-5,0,1,800,990,0,0.0,0,easy,65887,benchmark benchmark_suitable variable_bound set_packing mixed_binary,MIPLIB submission pool,exp_and_fc
27,graphdraw-domain,0,1,910,254,0,0.0,0,easy,19685.99997550038,benchmark benchmark_suitable variable_bound set_partitioning invariant_knapsack mixed_binary general_linear,Cézar Augusto Nascimento e Silva,graphdraw
28,beasleyC3,0,3,2250,2500,16,0.64,0,easy,753.9999999999128,benchmark decomposition benchmark_suitable aggregations variable_bound mixed_binary,"F. Ortega, L. Wolsey",beasley
29,neos-4338804-snowy,63,211,1701,1344,0,0.0,0,hard,1471,benchmark benchmark_suitable precedence set_covering mixed_binary general_linear,Jeff Linderoth,neos-pseudoapplication-40
30,neos-4954672-berkel,195,652,2373,1533,0,0.0,0,hard,2612710,benchmark benchmark_suitable aggregations variable_bound mixed_binary,Jeff Linderoth,neos-pseudoapplication-43
31,mik-250-20-75-4,0,1,195,270,0,0.0,0,easy,-52301,benchmark benchmark_suitable general_linear,MIPLIB submission pool,mik_250
32,p200x1188c,0,1,1588,2376,0,0.0,0,easy,15078,benchmark decomposition benchmark_suitable variable_bound mixed_binary,MIPLIB submission pool,pr_product
33,50v-10,0,1,283,2013,0,0.0,0,easy,3311.1799841,benchmark decomposition benchmark_suitable mixed_binary general_linear,Serge Bisaillon,--
34,lotsize,0,1,2520,2985,0,0.0,0,easy,1480195,benchmark decomposition benchmark_suitable variable_bound set_packing invariant_knapsack mixed_binary,"Dinakar Gade, Simge Kucukyavuz",--
35,mc11,0,1,2320,3040,0,0.0,0,easy,11688.99999999966,benchmark decomposition benchmark_suitable variable_bound mixed_binary,"F. Ortega, L. Wolsey",mc
36,n5-3,0,1,2024,2550,0,0.0,0,easy,8104.999999993999,benchmark decomposition benchmark_suitable aggregations mixed_binary general_linear,A. Atamtürk,nxy-z
37,pg,0,1,225,2700,0,0.0,0,easy,-8674.34260712,benchmark decomposition benchmark_suitable mixed_binary,M. Dawande,--
38,gmu-35-40,803,439,429,1205,474,39.33609958506224,0,easy,-2406733.3688,benchmark benchmark_suitable variable_bound set_packing mixed_binary,Nora Konnyu,gmu
39,ran14x18-disj-8,0,1,479,504,0,0.0,0,easy,3712,benchmark benchmark_suitable variable_bound set_covering mixed_binary,J. Aronson,ran
40,csched008,0,1,652,1536,0,0.0,0,easy,173,benchmark benchmark_suitable aggregations variable_bound set_partitioning mixed_binary general_linear,Tallys Yunes,csched
41,pg5_34,0,1,225,2600,0,0.0,0,easy,-14339.35345,benchmark decomposition benchmark_suitable mixed_binary,M. Dawande,--
42,csched007,0,1,652,1758,0,0.0,0,easy,350.9999999999955,benchmark benchmark_suitable aggregations variable_bound set_partitioning mixed_binary general_linear,Tallys Yunes,csched
43,mcsched,4,16,2309,1747,90,5.151688609044076,0,easy,211913,benchmark decomposition benchmark_suitable aggregations precedence variable_bound set_partitioning set_packing invariant_knapsack general_linear,Q. Chen,--
44,gmu-35-50,1840,821,440,1919,853,44.45023449713393,0,easy,-2607958.33,benchmark benchmark_suitable variable_bound set_packing mixed_binary,Nora Konnyu,gmu
45,qap10,0,1,3640,4150,0,0.0,0,easy,339.9999999983871,benchmark binary benchmark_suitable set_partitioning,MIPLIB submission pool,--
46,neos-3024952-loue,0,1,3810,3255,0,0.0,0,easy,26756,benchmark decomposition benchmark_suitable precedence integer_knapsack general_linear,Jeff Linderoth,neos-pseudoapplication-86
47,b1c1s1,0,1,5184,3872,0,0.0,0,easy,24544.25,benchmark benchmark_suitable aggregations variable_bound mixed_binary,"M. Vyve, Y. Pochet",c1s1
48,neos-4738912-atrato,0,3,2667,6216,192,3.088803088803089,0,easy,283627956.595,benchmark decomposition benchmark_suitable precedence variable_bound set_partitioning set_packing knapsack integer_knapsack general_linear,Jeff Linderoth,neos-pseudoapplication-37
49,rococoC10-001000,62,85,2298,3117,129,4.138594802694899,0,easy,11460,benchmark benchmark_suitable precedence set_partitioning cardinality general_linear,"A. Chabrier, E. Danna, C. Le Pape, L. Perron",rococo
