,instance,grpsize1,grpsize2,constraints,variables,equivalent vars,#oribits(%),CPU time(s),status,objectve,tags,submitter,group
24,neos-3627168-kasai,81,60,2120,1462,1445,98.83720930232558,0,easy,988585.6199999998,benchmark decomposition benchmark_suitable variable_bound invariant_knapsack mixed_binary general_linear,Jeff Linderoth,neos-pseudoapplication-25
25,binkar10_1,0,1,2042,2298,0,0.0,0,easy,6742.1998835,benchmark benchmark_suitable aggregations mixed_binary,H. Mittelmann,--
26,exp-1-500-5-5,0,1,800,990,0,0.0,0,easy,65887,benchmark benchmark_suitable variable_bound set_packing mixed_binary,MIPLIB submission pool,exp_and_fc
27,graphdraw-domain,0,1,910,254,0,0.0,0,easy,19685.99997550038,benchmark benchmark_suitable variable_bound set_partitioning invariant_knapsack mixed_binary general_linear,Cézar Augusto Nascimento e Silva,graphdraw
28,beasleyC3,0,3,2250,2500,16,0.64,0,easy,753.9999999999128,benchmark decomposition benchmark_suitable aggregations variable_bound mixed_binary,"F. Ortega, L. Wolsey",beasley
29,neos-4338804-snowy,63,211,1701,1344,0,0.0,0,hard,1471,benchmark benchmark_suitable precedence set_covering mixed_binary general_linear,Jeff Linderoth,neos-pseudoapplication-40
30,neos-4954672-berkel,195,652,2373,1533,0,0.0,0,hard,2612710,benchmark benchmark_suitable aggregations variable_bound mixed_binary,Jeff Linderoth,neos-pseudoapplication-43
31,mik-250-20-75-4,0,1,195,270,0,0.0,0,easy,-52301,benchmark benchmark_suitable general_linear,MIPLIB submission pool,mik_250
32,p200x1188c,0,1,1588,2376,0,0.0,0,easy,15078,benchmark decomposition benchmark_suitable variable_bound mixed_binary,MIPLIB submission pool,pr_product
33,50v-10,0,1,283,2013,0,0.0,0,easy,3311.1799841,benchmark decomposition benchmark_suitable mixed_binary general_linear,Serge Bisaillon,--
34,lotsize,0,1,2520,2985,0,0.0,0,easy,1480195,benchmark decomposition benchmark_suitable variable_bound set_packing invariant_knapsack mixed_binary,"Dinakar Gade, Simge Kucukyavuz",--
35,mc11,0,1,2320,3040,0,0.0,0,easy,11688.99999999966,benchmark decomposition benchmark_suitable variable_bound mixed_binary,"F. Ortega, L. Wolsey",mc
36,n5-3,0,1,2024,2550,0,0.0,0,easy,8104.999999993999,benchmark decomposition benchmark_suitable aggregations mixed_binary general_linear,A. Atamtürk,nxy-z
37,pg,0,1,225,2700,0,0.0,0,easy,-8674.34260712,benchmark decomposition benchmark_suitable mixed_binary,M. Dawande,--
38,gmu-35-40,803,439,429,1205,474,39.33609958506224,0,easy,-2406733.3688,benchmark benchmark_suitable variable_bound set_packing mixed_binary,Nora Konnyu,gmu
39,ran14x18-disj-8,0,1,479,504,0,0.0,0,easy,3712,benchmark benchmark_suitable variable_bound set_covering mixed_binary,J. Aronson,ran
40,csched008,0,1,652,1536,0,0.0,0,easy,173,benchmark benchmark_suitable aggregations variable_bound set_partitioning mixed_binary general_linear,Tallys Yunes,csched
41,pg5_34,0,1,225,2600,0,0.0,0,easy,-14339.35345,benchmark decomposition benchmark_suitable mixed_binary,M. Dawande,--
42,csched007,0,1,652,1758,0,0.0,0,easy,350.9999999999955,benchmark benchmark_suitable aggregations variable_bound set_partitioning mixed_binary general_linear,Tallys Yunes,csched
43,mcsched,4,16,2309,1747,90,5.151688609044076,0,easy,211913,benchmark decomposition benchmark_suitable aggregations precedence variable_bound set_partitioning set_packing invariant_knapsack general_linear,Q. Chen,--
44,gmu-35-50,1840,821,440,1919,853,44.45023449713393,0,easy,-2607958.33,benchmark benchmark_suitable variable_bound set_packing mixed_binary,Nora Konnyu,gmu
45,qap10,0,1,3640,4150,0,0.0,0,easy,339.9999999983871,benchmark binary benchmark_suitable set_partitioning,MIPLIB submission pool,--
46,neos-3024952-loue,0,1,3810,3255,0,0.0,0,easy,26756,benchmark decomposition benchmark_suitable precedence integer_knapsack general_linear,Jeff Linderoth,neos-pseudoapplication-86
47,b1c1s1,0,1,5184,3872,0,0.0,0,easy,24544.25,benchmark benchmark_suitable aggregations variable_bound mixed_binary,"M. Vyve, Y. Pochet",c1s1
48,neos-4738912-atrato,0,3,2667,6216,192,3.088803088803089,0,easy,283627956.595,benchmark decomposition benchmark_suitable precedence variable_bound set_partitioning set_packing knapsack integer_knapsack general_linear,Jeff Linderoth,neos-pseudoapplication-37
49,rococoC10-001000,62,85,2298,3117,129,4.138594802694899,0,easy,11460,benchmark benchmark_suitable precedence set_partitioning cardinality general_linear,"A. Chabrier, E. Danna, C. Le Pape, L. Perron",rococo
50,fhnw-binpack4-48,0,1,4480,3710,0,0.0,0,hard,0,benchmark feasibility benchmark_suitable precedence variable_bound invariant_knapsack mixed_binary,Simon Felix,binpack
51,milo-v12-6-r2-40-1,0,1,6636,2688,0,0.0,0,easy,326481.14282799,benchmark decomposition benchmark_suitable aggregations precedence variable_bound mixed_binary general_linear,Tamas Terlaky,milo
52,nu25-pr12,1,6,4500,5868,0,0.0,0,easy,53904.99999999999,benchmark decomposition benchmark_suitable aggregations variable_bound cardinality general_linear,MIPLIB submission pool,nus-prxy
53,neos-4387871-tavua,165,551,5108,4004,0,0.0,0,hard,33.384729927,benchmark benchmark_suitable variable_bound binpacking mixed_binary,Jeff Linderoth,neos-pseudoapplication-58
54,neos-5107597-kakapo,0,1,6567,3114,0,0.0,0,easy,3644.99999999952,benchmark benchmark_suitable aggregations precedence mixed_binary,Jeff Linderoth,neos-pseudoapplication-54
55,cvs16r128-89,42,112,4633,3472,3472,100.0,0,easy,-97,benchmark binary decomposition benchmark_suitable precedence set_packing invariant_knapsack,Michael Bastubbe,cvs
56,neos17,0,1,487,535,0,0.0,0,easy,0.1500025774,benchmark benchmark_suitable mixed_binary,NEOS Server Submission,neos-pseudoapplication-66
57,neos-3083819-nubu,0,1,9444,8644,0,0.0,0,easy,6307996,benchmark decomposition benchmark_suitable aggregations integer_knapsack general_linear,Jeff Linderoth,neos-pseudoapplication-31
58,icir97_tension,0,3,2406,2494,6,0.24057738572574178,0,easy,6375,benchmark benchmark_suitable aggregations mixed_binary general_linear,MIPLIB submission pool,--
59,rococoB10-011000,56,45,3063,4456,45,1.0098743267504489,0,easy,19449,benchmark decomposition benchmark_suitable precedence set_partitioning cardinality general_linear,"A. Chabrier, E. Danna, C. Le Pape, L. Perron",rococo
60,roll3000,61,204,2469,1166,0,0.0,0,easy,12889.999992,benchmark benchmark_suitable precedence variable_bound set_packing set_covering invariant_knapsack binpacking integer_knapsack mixed_binary general_linear,L. Kroon,--
61,reblock115,0,1,4735,1150,0,0.0,0,easy,-36800603.2332,benchmark binary benchmark_suitable precedence knapsack,Andreas Bley,reblock
62,app1-1,0,1,6152,2480,0,0.0,0,easy,-3,benchmark benchmark_suitable precedence variable_bound set_covering mixed_binary,Emilie Danna,app
63,supportcase18,12,18,360,13410,11200,83.51976137211037,1,easy,48,benchmark binary benchmark_suitable set_partitioning binpacking,Michael Winkler,--
64,bppc4-08,0,1,131,1456,0,0.0,0,easy,53,benchmark benchmark_suitable set_partitioning mixed_binary,Manuel Iori,bppc
65,sct2,706,1460,2511,5885,4354,73.98470688190315,0,easy,-230.9891623,benchmark benchmark_suitable precedence invariant_knapsack knapsack mixed_binary general_linear,Siemens,sct
66,neos-1582420,4349,6383,10181,10100,7466,73.92079207920793,0,easy,90.99999999999996,benchmark decomposition benchmark_suitable variable_bound set_covering integer_knapsack general_linear,NEOS Server Submission,neos-pseudoapplication-10
67,seymour,234,217,4944,1372,273,19.897959183673468,0,easy,423,benchmark binary benchmark_suitable variable_bound set_covering,"W. Cook, P. Seymour",--
68,seymour1,203,215,4944,1372,273,19.897959183673468,0,easy,410.76370139,benchmark benchmark_suitable variable_bound set_covering mixed_binary,MIPLIB submission pool,--
69,bnatt400,587,1188,7200,3600,1568,43.55555555555556,0,easy,1,benchmark binary benchmark_suitable precedence set_covering invariant_knapsack binpacking knapsack,Tatsuya Akutsu,bnatt
70,neos-1456979,2,5,6985,4605,4605,100.0,1,easy,176,benchmark decomposition benchmark_suitable variable_bound set_partitioning set_packing cardinality knapsack mixed_binary general_linear,NEOS Server Submission,neos-pseudoapplication-102
71,eil33-2,0,1,64,4516,0,0.0,0,easy,934.007915999999,benchmark binary benchmark_suitable set_partitioning,J. Linderoth,eil
72,fastxgemm-n2r6s0t2,2,4,6142,784,784,100.0,0,easy,230,benchmark decomposition benchmark_suitable variable_bound set_partitioning set_covering mixed_binary general_linear,Laurent Sorber,fastxgemm
73,neos-1445765,5,15,4293,20617,106,0.5141388174807198,0,easy,-17783,benchmark benchmark_suitable aggregations invariant_knapsack mixed_binary,NEOS Server Submission,neos-pseudoapplication-88
74,h80x6320d,0,1,6785,12640,0,0.0,0,easy,6382.099048245999,benchmark decomposition benchmark_suitable variable_bound set_partitioning set_packing mixed_binary,MIPLIB submission pool,fixed-cost-network-flow
75,neos-1171737,32,30,4179,2340,2340,100.0,3,easy,-195,benchmark benchmark_suitable variable_bound set_packing mixed_binary,NEOS Server Submission,neos-pseudoapplication-80
76,swath3,701,460,1388,6805,483,7.097722263041881,0,easy,397.76134365,benchmark benchmark_suitable mixed_binary,D. Panton,swath
77,swath1,706,460,1388,6805,483,7.097722263041881,0,easy,379.07129575,benchmark benchmark_suitable mixed_binary,D. Panton,swath
78,bnatt500,722,1476,9000,4500,1957,43.48888888888889,0,hard,Infeasible,benchmark infeasible binary benchmark_suitable precedence set_covering invariant_knapsack binpacking knapsack,Tatsuya Akutsu,bnatt
79,uct-subprob,29,85,2874,2256,316,14.00709219858156,0,easy,314,benchmark benchmark_suitable aggregations variable_bound set_partitioning set_packing mixed_binary,Gerald Lach,--
80,rmatr100-p10,0,1,7261,7359,0,0.0,0,easy,423,benchmark benchmark_suitable cardinality mixed_binary,Dmitry Krushinsky,rmatr
81,graph20-20-1rand,43,37,5661,2183,2146,98.30508474576271,0,easy,-9,benchmark binary decomposition benchmark_suitable precedence set_partitioning invariant_knapsack,Michael Bastubbe,graphs
82,cost266-UUE,0,1,2778,4161,0,0.0,0,easy,25148940.55999998,benchmark decomposition benchmark_suitable aggregations set_packing mixed_binary,MIPLIB submission pool,network_design
83,neos-3004026-krka,9267,8644,16770,17030,17030,100.0,4,easy,0,benchmark feasibility benchmark_suitable set_partitioning general_linear,Jeff Linderoth,neos-pseudoapplication-38
84,traininstance6,7,11,20403,10218,11,0.10765316108827559,0,easy,28290,benchmark benchmark_suitable aggregations precedence variable_bound set_partitioning cardinality invariant_knapsack mixed_binary general_linear,Gleb Belov,traininstance
85,air05,12,37,852,7195,0,0.0,0,easy,26374,benchmark binary benchmark_suitable set_partitioning,G. Astfalk,air
86,neos-2978193-inde,2,6,728,20800,18200,87.5,2,easy,-2.38806169,benchmark decomposition benchmark_suitable cardinality mixed_binary,Jeff Linderoth,neos-pseudoapplication-5
87,ns1208400,6751,2311,4628,2883,2820,97.81477627471384,3,easy,2,benchmark benchmark_suitable variable_bound set_partitioning set_covering invariant_knapsack mixed_binary general_linear,NEOS Server Submission,neos-pseudoapplication-108
88,neos-3656078-kumeu,2,7,23029,14870,4579,30.793544048419637,1,hard,-13172.2,benchmark benchmark_suitable aggregations precedence variable_bound set_packing cardinality invariant_knapsack knapsack mixed_binary general_linear,Jeff Linderoth,neos-pseudoapplication-44
89,dano3_5,4,16,4426,13873,0,0.0,0,easy,576.9249159565619,benchmark benchmark_suitable variable_bound cardinality mixed_binary,Daniel Bienstock,dano
90,dano3_3,4,16,4426,13873,0,0.0,0,easy,576.34463303,benchmark benchmark_suitable variable_bound cardinality mixed_binary,Daniel Bienstock,dano
91,traininstance2,8,12,25772,12890,12,0.09309542280837858,0,hard,71820,benchmark decomposition benchmark_suitable aggregations precedence variable_bound set_partitioning cardinality invariant_knapsack mixed_binary general_linear,Gleb Belov,traininstance
92,neos-3216931-puriri,13,38,6568,3555,32,0.90014064697609,0,easy,71320,benchmark benchmark_suitable aggregations variable_bound set_partitioning set_packing set_covering cardinality invariant_knapsack binpacking knapsack general_linear,Jeff Linderoth,neos-pseudoapplication-56
93,nexp-150-20-8-5,0,1,4674,20115,0,0.0,0,easy,231,benchmark benchmark_suitable set_packing mixed_binary,MIPLIB submission pool,exp_and_fc
94,rocI-4-11,132,441,13714,6839,0,0.0,0,easy,-6020203,benchmark benchmark_suitable aggregations precedence variable_bound set_partitioning mixed_binary general_linear,Joerg Rambau,rocI
95,ns1830653,56,153,3497,1629,18,1.1049723756906078,0,easy,20622,benchmark benchmark_suitable variable_bound set_partitioning set_packing cardinality invariant_knapsack knapsack mixed_binary,NEOS Server Submission,neos-pseudoapplication-110
96,cod105,10,10,1024,1024,1024,100.0,1,easy,-12,benchmark binary benchmark_suitable set_packing,MIPLIB submission pool,--
97,drayage-25-23,95,79,4840,11090,6800,61.31650135256988,2,easy,101282.647018,benchmark benchmark_suitable precedence set_partitioning mixed_binary,F. Jordan Srour,drayage
98,drayage-100-23,95,79,4840,11090,6800,61.31650135256988,2,easy,103333.87407,benchmark benchmark_suitable precedence set_partitioning mixed_binary,F. Jordan Srour,drayage
99,dws008-01,0,1,6577,11096,0,0.0,0,hard,37412.60458794508,benchmark decomposition benchmark_suitable precedence variable_bound set_partitioning set_packing mixed_binary,Philipp Leise,dws
